"supplier_id","supplier_name","product_sku","product_name","lead_time_days","raw_net_demand","pack_size","min_order_quantity","order_quantity"
"SUP_COPAG","Copag (Jaouda)","P_504","Jus Pomme 1L","1","134","12","24","144.0"
"SUP_LESIEUR","Lesieur Cristal","P_203","Mayonnaise 250g","2","285","12","24","288.0"
"SUP_DANONE","Centrale Danone","P_102","Yogurt Strawberry","1","169","24","50","192.0"
"SUP_DANONE","Centrale Danone","P_104","Danette Chocolate","1","89","12","48","96.0"
"SUP_BIMO","Bimo (Mondelez)","P_404","Cookies Chocolat","2","251","12","24","252.0"
"SUP_DANONE","Centrale Danone","P_103","Yogurt Vanilla","1","146","24","50","168.0"
"SUP_BIMO","Bimo (Mondelez)","P_406","Crackers Sales","2","264","18","36","270.0"
"SUP_COSUMAR","Cosumar","P_301","Sucre Granule 1kg","3","653","25","50","675.0"
"SUP_COPAG","Copag (Jaouda)","P_505","Jus Multifruits 1L","1","220","12","24","228.0"
"SUP_BIMO","Bimo (Mondelez)","P_405","Gaufrettes Fraise","2","135","12","24","144.0"
"SUP_COPAG","Copag (Jaouda)","P_506","Lait Fermente 1L","1","312","12","36","312.0"
"SUP_LESIEUR","Lesieur Cristal","P_201","Huile Tournesol 1L","2","337","12","24","348.0"
"SUP_LESIEUR","Lesieur Cristal","P_204","Ketchup 340g","2","260","12","24","264.0"
"SUP_BIMO","Bimo (Mondelez)","P_402","Tagger Vanille","2","397","24","48","408.0"
"SUP_DANONE","Centrale Danone","P_105","Activia Natural","1","134","6","36","138.0"
"SUP_COSUMAR","Cosumar","P_304","Miel 500g","3","56","6","12","60.0"
"SUP_LESIEUR","Lesieur Cristal","P_202","Huile Olive 500ml","2","151","6","12","156.0"
"SUP_COSUMAR","Cosumar","P_303","Sucre Glace 500g","3","108","12","24","108.0"
"SUP_COPAG","Copag (Jaouda)","P_501","Lben 500ml","1","413","12","48","420.0"
"SUP_COPAG","Copag (Jaouda)","P_502","Raib 500ml","1","135","12","48","144.0"
"SUP_BIMO","Bimo (Mondelez)","P_401","Tagger Chocolate","2","441","24","48","456.0"
"SUP_DANONE","Centrale Danone","P_101","Milk 1L","1","386","12","100","396.0"
"SUP_DANONE","Centrale Danone","P_106","Raibi Jamila","1","307","12","60","312.0"
"SUP_COSUMAR","Cosumar","P_302","Sucre Morceaux 1kg","3","263","20","40","280.0"
"SUP_BIMO","Bimo (Mondelez)","P_403","Biscuit Petit Dejeuner","2","244","12","36","252.0"
"SUP_COPAG","Copag (Jaouda)","P_503","Jus Orange 1L","1","296","12","24","300.0"
"SUP_LESIEUR","Lesieur Cristal","P_205","Moutarde 200g","2","38","12","24","48.0"
