warehouse_id,product_sku,available_quantity,reserved_quantity,safety_stock
WH_MAIN,P_101,486,52,100
WH_MAIN,P_102,227,28,60
WH_MAIN,P_103,170,29,50
WH_MAIN,P_104,77,6,30
WH_MAIN,P_105,145,20,40
WH_MAIN,P_106,253,41,80
WH_MAIN,P_201,175,16,50
WH_MAIN,P_202,65,0,20
WH_MAIN,P_203,87,5,25
WH_MAIN,P_204,109,10,30
WH_MAIN,P_205,21,1,15
WH_MAIN,P_301,408,105,150
WH_MAIN,P_302,140,32,60
WH_MAIN,P_303,70,13,25
WH_MAIN,P_304,59,2,15
WH_MAIN,P_401,162,35,60
WH_MAIN,P_402,136,24,50
WH_MAIN,P_403,84,20,35
WH_MAIN,P_404,84,15,25
WH_MAIN,P_405,74,9,20
WH_MAIN,P_406,106,17,30
WH_MAIN,P_501,275,59,100
WH_MAIN,P_502,263,47,80
WH_MAIN,P_503,220,40,70
WH_MAIN,P_504,103,24,40
WH_MAIN,P_505,139,26,50
WH_MAIN,P_506,185,37,60
